hprodid,hprodname,genname,gencode,saltdesc,saltcode,formdesc,formcode,stredesc,strecode,unitdesc,unitcode,edl,pndf_classification,status,pprice,sprice,packcode,packdesc,mdrprice,mdrp_dateasof,price_indicator
10DEX0000000000SOL3200247BOTTL,10% DEXTROSE IN WATER SOLUTION 1 L BOTTLE,10% DEXTROSE IN WATER,10DEX,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
10DEX0000000000SOL3200020BOTTL,10% DEXTROSE IN WATER SOLUTION 250 mL BOTTLE,10% DEXTROSE IN WATER,10DEX,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
10DEX0000000000SOL3200388AMPUL,10% DEXTROSE IN WATER SOLUTION 3 mL AMPULE,10% DEXTROSE IN WATER,10DEX,,0,SOLUTION,SOL32,,0,3 mL,388,,,,,,AMPUL,AMPULE,,,
10DEX0000000000SOL3200044BOTTL,10% DEXTROSE IN WATER SOLUTION 500 mL BOTTLE,10% DEXTROSE IN WATER,10DEX,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
5D3SC0000000000SOL3200247BOTTL,5% DEXTROSE IN 0.3% SODIUM CHLORIDE SOLUTION 1 L BOTTLE,5% DEXTROSE IN 0.3% SODIUM CHLORIDE,5D3SC,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
5D3SC0000000000SOL3200020BOTTL,5% DEXTROSE IN 0.3% SODIUM CHLORIDE SOLUTION 250 mL BOTTLE,5% DEXTROSE IN 0.3% SODIUM CHLORIDE,5D3SC,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
5D3SC0000000000SOL3200044BOTTL,5% DEXTROSE IN 0.3% SODIUM CHLORIDE SOLUTION 500 mL BOTTLE,5% DEXTROSE IN 0.3% SODIUM CHLORIDE,5D3SC,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
D50450000000000SOL3200044BOTTL,5% DEXTROSE IN 0.45% SODIUM CHLORIDE SOLUTION 500 mL BOTTLE,5% DEXTROSE IN 0.45% SODIUM CHLORIDE,D5045,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
5D9SC0000000000SOL3200247BOTTL,5% DEXTROSE IN 0.9% SODIUM CHLORIDE SOLUTION 1 L BOTTLE,5% DEXTROSE IN 0.9% SODIUM CHLORIDE,5D9SC,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
5D9SC0000000000SOL3200020BOTTL,5% DEXTROSE IN 0.9% SODIUM CHLORIDE SOLUTION 250 mL BOTTLE,5% DEXTROSE IN 0.9% SODIUM CHLORIDE,5D9SC,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
5D9SC0000000000SOL3200044BOTTL,5% DEXTROSE IN 0.9% SODIUM CHLORIDE SOLUTION 500 mL BOTTLE,5% DEXTROSE IN 0.9% SODIUM CHLORIDE,5D9SC,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
5DLRS0000000000SOL3200247BOTTL,5% DEXTROSE IN LACTATED RINGER'S SOLUTION 1 L BOTTLE,5% DEXTROSE IN LACTATED RINGER'S,5DLRS,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
5DLRS0000000000SOL3200020BOTTL,5% DEXTROSE IN LACTATED RINGER'S SOLUTION 250 mL BOTTLE,5% DEXTROSE IN LACTATED RINGER'S,5DLRS,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
5DLRS0000000000SOL3200044BOTTL,5% DEXTROSE IN LACTATED RINGER'S SOLUTION 500 mL BOTTLE,5% DEXTROSE IN LACTATED RINGER'S,5DLRS,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
5D45S0000000000SOL3200247BAGXX,5 % DEXTROSE IN SODIUM CHLORIDE SOLUTION 1 L BAG,5 % DEXTROSE IN SODIUM CHLORIDE,5D45S,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BAGXX,BAG,,,
5DEXW0000000000SOL3200247BOTTL,5% DEXTROSE IN WATER SOLUTION 1 L BOTTLE,5% DEXTROSE IN WATER,5DEXW,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
5DEXW0000000000SOL3200020BOTTL,5% DEXTROSE IN WATER SOLUTION 250 mL BOTTLE,5% DEXTROSE IN WATER,5DEXW,,0,SOLUTION,SOL32,,0,250 mL,20,,,,,,BOTTL,BOTTLE,,,
5DEXW0000000000SOL3200044BOTTL,5% DEXTROSE IN WATER SOLUTION 500 mL BOTTLE,5% DEXTROSE IN WATER,5DEXW,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
ABA010000000028TAB490000000000,ABACAVIR 300 mg TABLET,ABACAVIR,ABA01,,0,TABLET,TAB49,300 mg,28,,0,,,,,,0,,,,
ACARB0000000139TAB490000000000,ACARBOSE 100 mg TABLET,ACARBOSE,ACARB,,0,TABLET,TAB49,100 mg,139,,0,,,,,,0,,,,
ACARB0000000050TAB490000000000,ACARBOSE 50 mg TABLET,ACARBOSE,ACARB,,0,TABLET,TAB49,50 mg,50,,0,,,,,,0,,,,
ACET10000000000SOL3200247BAGXX,ACETATED RINGER'S SOLUTION SOLUTION 1 L BAG,ACETATED RINGER'S SOLUTION,ACET1,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BAGXX,BAG,,,
ACET10000000000SOL3200247BOTTL,ACETATED RINGER'S SOLUTION SOLUTION 1 L BOTTLE,ACETATED RINGER'S SOLUTION,ACET1,,0,SOLUTION,SOL32,,0,1 L,247,,,,,,BOTTL,BOTTLE,,,
ACET10000000000SOL3200044BAGXX,ACETATED RINGER'S SOLUTION SOLUTION 500 mL BAG,ACETATED RINGER'S SOLUTION,ACET1,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BAGXX,BAG,,,
ACET10000000000SOL3200044BOTTL,ACETATED RINGER'S SOLUTION SOLUTION 500 mL BOTTLE,ACETATED RINGER'S SOLUTION,ACET1,,0,SOLUTION,SOL32,,0,500 mL,44,,,,,,BOTTL,BOTTLE,,,
ACET20000000015TAB490000000000,ACETAZOLAMIDE 250 mg TABLET,ACETAZOLAMIDE,ACET2,,0,TABLET,TAB49,250 mg,15,,0,,,,,,0,,,,
ACEY100000001390000000000SAC01,ACETYLCYSTEINE 100 mg SACHET,ACETYLCYSTEINE,ACEY1,,0,,0,100 mg,139,,0,,,,,,SAC01,SACHET,,,
ACEY10000000162SUS1401374BOTTL,ACETYLCYSTEINE 100 mg/5 mL SUSPENSION 150 mL BOTTLE,ACETYLCYSTEINE,ACEY1,,0,SUSPENSION,SUS14,100 mg/5 mL,162,150 mL,1374,,,,,,BOTTL,BOTTLE,,,
ACEY100000000040000000000SAC01,ACETYLCYSTEINE 200 mg SACHET,ACETYLCYSTEINE,ACEY1,,0,,0,200 mg,4,,0,,,,,,SAC01,SACHET,,,
ACEY10000001123SOL3200195AMPUL,ACETYLCYSTEINE 200 mg/mL SOLUTION 10 mL AMPULE,ACETYLCYSTEINE,ACEY1,,0,SOLUTION,SOL32,200 mg/mL,1123,10 mL,195,,,,,,AMPUL,AMPULE,,,
ACEY10000001123SOL3201375BOTTL,ACETYLCYSTEINE 200 mg/mL SOLUTION 25 mL BOTTLE,ACETYLCYSTEINE,ACEY1,,0,SOLUTION,SOL32,200 mg/mL,1123,25 mL,1375,,,,,,BOTTL,BOTTLE,,,
ACEY10000000061TAB200000000000,ACETYLCYSTEINE 600 mg TABLET EFFERVESCENT,ACETYLCYSTEINE,ACEY1,,0,TABLET EFFERVESCENT,TAB20,600 mg,61,,0,,,,,,0,,,,
ACICL0000000004TAB490000000000,ACICLOVIR 200 mg TABLET,ACICLOVIR,ACICL,,0,TABLET,TAB49,200 mg,4,,0,,,,,,0,,,,
ACICL0000000006SUS1400201BOTTL,ACICLOVIR 200 mg/5 mL SUSPENSION 120 mL BOTTLE,ACICLOVIR,ACICL,,0,SUSPENSION,SUS14,200 mg/5 mL,6,120 mL,201,,,,,,BOTTL,BOTTLE,,,
ACICL0000000006SUS1400469BOTTL,ACICLOVIR 200 mg/5 mL SUSPENSION 60 mL BOTTLE,ACICLOVIR,ACICL,,0,SUSPENSION,SUS14,200 mg/5 mL,6,60 mL,469,,,,,,BOTTL,BOTTLE,,,
ACICL0000000985SOL3200195VIALX,ACICLOVIR 25 mg/mL SOLUTION 10 mL VIAL,ACICLOVIR,ACICL,,0,SOLUTION,SOL32,25 mg/mL,985,10 mL,195,,,,,,VIALX,VIAL,,,
ACICL0000000364EYO0101376TUB01,ACICLOVIR 3% EYE OINTMENT 4.5 g TUBE,ACICLOVIR,ACICL,,0,EYE OINTMENT,EYO01,3%,364,4.5 g,1376,,,,,,TUB01,TUBE,,,
ACICL0000000034TAB490000000000,ACICLOVIR 400 mg TABLET,ACICLOVIR,ACICL,,0,TABLET,TAB49,400 mg,34,,0,,,,,,0,,,,
ACICL0000000495TAB490000000000,ACICLOVIR 800 mg TABLET,ACICLOVIR,ACICL,,0,TABLET,TAB49,800 mg,495,,0,,,,,,0,,,,
AC0010000000000POW2701266USP02,ACTIVATED CHARCOAL POWDER 1 kg USP,ACTIVATED CHARCOAL,AC001,,0,POWDER,POW27,,0,1 kg,1266,,,,,,USP02,USP,,,
ADENO0000000387SOL3200361VIALX,ADENOSINE 3 mg/mL SOLUTION 2 mL VIAL,ADENOSINE,ADENO,,0,SOLUTION,SOL32,3 mg/mL,387,2 mL,361,,,,,,VIALX,VIAL,,,
AKAPU0000000512LOTI100469BOTTL,AKAPULKO 50% LOTION 60 mL BOTTLE,AKAPULKO,AKAPU,,0,LOTION,LOTI1,50%,512,60 mL,469,,,,,,BOTTL,BOTTLE,,,
ALBED0000000006SUS1400195BOTTL,ALBENDAZOLE 200 mg/5 mL SUSPENSION 10 mL BOTTLE,ALBENDAZOLE,ALBED,,0,SUSPENSION,SUS14,200 mg/5 mL,6,10 mL,195,,,,,,BOTTL,BOTTLE,,,
ALBED0000000006SUS1400231BOTTL,ALBENDAZOLE 200 mg/5 mL SUSPENSION 15 mL BOTTLE,ALBENDAZOLE,ALBED,,0,SUSPENSION,SUS14,200 mg/5 mL,6,15 mL,231,,,,,,BOTTL,BOTTLE,,,
ALBED0000000006SUS1400379BOTTL,ALBENDAZOLE 200 mg/5 mL SUSPENSION 30 mL BOTTLE,ALBENDAZOLE,ALBED,,0,SUSPENSION,SUS14,200 mg/5 mL,6,30 mL,379,,,,,,BOTTL,BOTTLE,,,
ALBED0000000006SUS1400469BOTTL,ALBENDAZOLE 200 mg/5 mL SUSPENSION 60 mL BOTTLE,ALBENDAZOLE,ALBED,,0,SUSPENSION,SUS14,200 mg/5 mL,6,60 mL,469,,,,,,BOTTL,BOTTLE,,,
ALBED0000000034TAB490000000000,ALBENDAZOLE 400 mg TABLET,ALBENDAZOLE,ALBED,,0,TABLET,TAB49,400 mg,34,,0,,,,,,0,,,,
ALBUM0000000289SOL3200178BOTTL,"ALBUMIN, HUMAN 20% SOLUTION 100 mL BOTTLE","ALBUMIN, HUMAN",ALBUM,,0,SOLUTION,SOL32,20%,289,100 mL,178,,,,,,BOTTL,BOTTLE,,,
ALBUM0000000289SOL3200055BOTTL,"ALBUMIN, HUMAN 20% SOLUTION 50 mL BOTTLE","ALBUMIN, HUMAN",ALBUM,,0,SOLUTION,SOL32,20%,289,50 mL,55,,,,,,BOTTL,BOTTLE,,,
ALBUM0000000588SOL3200178BOTTL,"ALBUMIN, HUMAN 25% SOLUTION 100 mL BOTTLE","ALBUMIN, HUMAN",ALBUM,,0,SOLUTION,SOL32,25%,588,100 mL,178,,,,,,BOTTL,BOTTLE,,,
ALBUM0000000588SOL3200055BAGXX,"ALBUMIN, HUMAN 25% SOLUTION 50 mL BAG","ALBUMIN, HUMAN",ALBUM,,0,SOLUTION,SOL32,25%,588,50 mL,55,,,,,,BAGXX,BAG,,,
ALBUM0000000588SOL3200055BOTTL,"ALBUMIN, HUMAN 25% SOLUTION 50 mL BOTTLE","ALBUMIN, HUMAN",ALBUM,,0,SOLUTION,SOL32,25%,588,50 mL,55,,,,,,BOTTL,BOTTLE,,,
ALCOE0000000000SOL3200516AMPUL,"ALCOHOL, ETHYL SOLUTION 1 mL AMPULE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,,0,1 mL,516,,,,,,AMPUL,AMPULE,,,
ALCOE0000000479SOL3200044BOTTL,"ALCOHOL, ETHYL 70% SOLUTION 500 mL BOTTLE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,70%,479,500 mL,44,,,,,,BOTTL,BOTTLE,,,
ALCOE0000000479SOL3200178BOTTL,"ALCOHOL, ETHYL 70% SOLUTION 100 mL BOTTLE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,70%,479,100 mL,178,,,,,,BOTTL,BOTTLE,,,
ALCOE0000000479SOL3201374BOTTL,"ALCOHOL, ETHYL 70% SOLUTION 150 mL BOTTLE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,70%,479,150 mL,1374,,,,,,BOTTL,BOTTLE,,,
ALCOE0000000479SOL3200020BOTTL,"ALCOHOL, ETHYL 70% SOLUTION 250 mL BOTTLE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,70%,479,250 mL,20,,,,,,BOTTL,BOTTLE,,,
ALCOE0000000479SOL3200469BOTTL,"ALCOHOL, ETHYL 70% SOLUTION 60 mL BOTTLE","ALCOHOL, ETHYL",ALCOE,,0,SOLUTION,SOL32,70%,479,60 mL,469,,,,,,BOTTL,BOTTLE,,,
ALEND0005300069TAB490000000000,ALENDRONATE ( as SODIUM SALT) 10 mg TABLET,ALENDRONATE,ALEND,SODIUM SALT,53,TABLET,TAB49,10 mg,69,,0,,,,,,0,,,,
ALE000005300518TAB490000000000,ALENDRONATE + CHOLECALCIFEROL (VIT. D3) ( as SODIUM SALT) 70 mg + 2800 IU TABLET,ALENDRONATE + CHOLECALCIFEROL (VIT. D3),ALE00,SODIUM SALT,53,TABLET,TAB49,70 mg + 2800 IU,518,,0,,,,,,0,,,,
ALEN20005300482TAB490000000000,ALENDRONATE SODIUM ( as SODIUM SALT) 70 mg TABLET,ALENDRONATE SODIUM,ALEN2,SODIUM SALT,53,TABLET,TAB49,70 mg,482,,0,,,,,,0,,,,
ALFUZ0000200069TAB490000000000,ALFUZOSIN ( as HYDROCHLORIDE) 10 mg TABLET,ALFUZOSIN,ALFUZ,HYDROCHLORIDE,2,TABLET,TAB49,10 mg,69,,0,,,,,,0,,,,
ALFUZ0000200003TAB490000000000,ALFUZOSIN ( as HYDROCHLORIDE) 2.5 mg TABLET,ALFUZOSIN,ALFUZ,HYDROCHLORIDE,2,TABLET,TAB49,2.5 mg,3,,0,,,,,,0,,,,
ALFUZ0000200056TAB490000000000,ALFUZOSIN ( as HYDROCHLORIDE) 5 mg TABLET,ALFUZOSIN,ALFUZ,HYDROCHLORIDE,2,TABLET,TAB49,5 mg,56,,0,,,,,,0,,,,
ALL-I0000000072SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1,72,,0,,,,,,BOTTL,BOTTLE,,,
ALL-I0000001351SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 1000 Kcal SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1 1000 Kcal,1351,,0,,,,,,BOTTL,BOTTLE,,,
ALL-I0000001355SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 1300 Kcal SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1 1300 Kcal,1355,,0,,,,,,BOTTL,BOTTLE,,,
ALL-I0000001350SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 1400 Kcal SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1 1400 Kcal,1350,,0,,,,,,BOTTL,BOTTLE,,,
ALL-I0000001356SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 1500 Kcal SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1 1500 Kcal,1356,,0,,,,,,BOTTL,BOTTLE,,,
ALL-I0000001354SOL3200000BOTTL,"ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS) 3 in 1 1900 Kcal SOLUTION BOTTLE","ALL-IN-ONE ADMIXTURES (""3-IN-1"" OR ""DUAL ENERGY"" SOLUTIONS)",ALL-I,,0,SOLUTION,SOL32,3 in 1 1900 Kcal,1354,,0,,,,,,BOTTL,BOTTLE,,,
ALLOP0000000139TAB490000000000,ALLOPURINOL 100 mg TABLET,ALLOPURINOL,ALLOP,,0,TABLET,TAB49,100 mg,139,,0,,,,,,0,,,,
ALLOP0000000028TAB490000000000,ALLOPURINOL 300 mg TABLET,ALLOPURINOL,ALLOP,,0,TABLET,TAB49,300 mg,28,,0,,,,,,0,,,,
ALP000000100194SUS1400195BOTTL,ALPHA-TOCOPHEROL (VITAMIN E) (FOR PREMATURES) ( as ACETATE) 10 mg/mL SUSPENSION 10 mL BOTTLE,ALPHA-TOCOPHEROL (VITAMIN E) (FOR PREMATURES),ALP00,ACETATE,1,SUSPENSION,SUS14,10 mg/mL,194,10 mL,195,,,,,,BOTTL,BOTTLE,,,
ALPRA0000000252TAB490000000000,ALPRAZOLAM 1 mg TABLET,ALPRAZOLAM,ALPRA,,0,TABLET,TAB49,1 mg,252,,0,,,,,,0,,,,
ALPRA0000000013TAB490000000000,ALPRAZOLAM 250 mcg TABLET,ALPRAZOLAM,ALPRA,,0,TABLET,TAB49,250 mcg,13,,0,,,,,,0,,,,
ALPRA0000000045TAB490000000000,ALPRAZOLAM 500 mcg TABLET,ALPRAZOLAM,ALPRA,,0,TABLET,TAB49,500 mcg,45,,0,,,,,,0,,,,
ALUM20000000521GELXX00322BOTTL,ALUMINUM HYDROXIDE 600 mg/5 mL GEL 240 mL BOTTLE,ALUMINUM HYDROXIDE,ALUM2,,0,GEL,GELXX,600 mg/5 mL,521,240 mL,322,,,,,,BOTTL,BOTTLE,,,
AHMHY0000000320SUS1400201BOTTL,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE 225 mg + 200 mg/5 mL SUSPENSION 120 mL BOTTLE,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE,AHMHY,,0,SUSPENSION,SUS14,225 mg + 200 mg/5 mL,320,120 mL,201,,,,,,BOTTL,BOTTLE,,,
AHMHY0000000320SUS1401377BOTTL,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE 225 mg + 200 mg/5 mL SUSPENSION 180 mL BOTTLE,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE,AHMHY,,0,SUSPENSION,SUS14,225 mg + 200 mg/5 mL,320,180 mL,1377,,,,,,BOTTL,BOTTLE,,,
AHMHY0000000320SUS1400020BOTTL,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE 225 mg + 200 mg/5 mL SUSPENSION 250 mL BOTTLE,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE,AHMHY,,0,SUSPENSION,SUS14,225 mg + 200 mg/5 mL,320,250 mL,20,,,,,,BOTTL,BOTTLE,,,
AHMHY0000000320SUS1401378BOTTL,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE 225 mg + 200 mg/5 mL SUSPENSION 355 mL BOTTLE,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE,AHMHY,,0,SUSPENSION,SUS14,225 mg + 200 mg/5 mL,320,355 mL,1378,,,,,,BOTTL,BOTTLE,,,
AHMHY0000000320SUS1400469BOTTL,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE 225 mg + 200 mg/5 mL SUSPENSION 60 mL BOTTLE,ALUMINUM HYDROXIDE + MAGNESIUM HYDROXIDE,AHMHY,,0,SUSPENSION,SUS14,225 mg + 200 mg/5 mL,320,60 mL,469,,,,,,BOTTL,BOTTLE,,,
AMI000003600526SOL3200178AMPUL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 100 mL AMPULE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,100 mL,178,,,,,,AMPUL,AMPULE,,,
AMI000003600526SOL3200178BOTTL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 100 mL BOTTLE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,100 mL,178,,,,,,BOTTL,BOTTLE,,,
AMI000003600526SOL3200011AMPUL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 20 mL AMPULE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,20 mL,11,,,,,,AMPUL,AMPULE,,,
AMI000003600526SOL3200011BOTTL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 20 mL BOTTLE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,20 mL,11,,,,,,BOTTL,BOTTLE,,,
AMI000003600526SOL3201125AMPUL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 200 mL AMPULE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,200 mL,1125,,,,,,AMPUL,AMPULE,,,
AMI000003600526SOL3201125BOTTL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 200 mL BOTTLE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,200 mL,1125,,,,,,BOTTL,BOTTLE,,,
AMI000003600526SOL3201375AMPUL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 25 mL AMPULE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,25 mL,1375,,,,,,AMPUL,AMPULE,,,
AMI000003600526SOL3201375BOTTL,"AMIDOTRIZOATE (DIATRIZOATE) ( as MEGLUMINE AND/OR
SODIUM SALT) 150 mg - 650 mg iodine/mL SOLUTION 25 mL BOTTLE",AMIDOTRIZOATE (DIATRIZOATE),AMI00,"MEGLUMINE AND/OR
SODIUM SALT",36,SOLUTION,SOL32,150 mg - 650 mg iodine/mL,526,25 mL,1375,,,,,,BOTTL,BOTTLE,,,
